Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GnRH secretion	2/64	0.0031177992266426644	0.09665177602592259	0	0	26.763440860215052	154.44185858500512	GABBR1;GPER1
Estrogen signaling pathway	2/137	0.013594843115207917	0.1950325048444269	0	0	12.246296296296297	52.63537431715434	GABBR1;GPER1
Hippo signaling pathway	2/163	0.018874113372041312	0.1950325048444269	0	0	10.255175983436853	40.71267904351928	FGF1;NKD2
Arginine biosynthesis	1/22	0.028227411859507716	0.2187624419111848	0	0	38.005714285714284	135.5839309094672	NAGS
Ras signaling pathway	2/232	0.03627329092685942	0.22489440374652842	0	0	7.153623188405797	23.726233142389635	NTF3;FGF1
Mucin type O-glycan biosynthesis	1/36	0.04578976337343589	0.23007524541824242	0	0	22.78742857142857	70.2694731674912	GALNT9
MAPK signaling pathway	2/294	0.05552966749043117	0.23007524541824242	0	0	5.617009132420091	16.23786261319423	NTF3;FGF1
Other types of O-glycan biosynthesis	1/47	0.05937425688212708	0.23007524541824242	0	0	17.328695652173913	48.93440890536594	GALNT9
Neuroactive ligand-receptor interaction	2/341	0.07203666198841148	0.2338656364203242	0	0	4.82669616519174	12.69701085810808	PYY;GABBR1
PI3K-Akt signaling pathway	2/354	0.07685734729943974	0.2338656364203242	0	0	4.645359848484849	11.919083846216697	NTF3;FGF1
Melanoma	1/72	0.08956002659775081	0.2338656364203242	0	0	11.212957746478873	27.05514238024048	FGF1
Taste transduction	1/86	0.10605491252536185	0.2338656364203242	0	0	9.359529411764706	21.000895961244385	GABBR1
GABAergic synapse	1/89	0.1095519547385849	0.2338656364203242	0	0	9.039090909090909	19.988651258599795	GABBR1
Morphine addiction	1/91	0.11187600445607333	0.2338656364203242	0	0	8.837333333333333	19.356977885596702	GABBR1
Viral protein interaction with cytokine and cytokine receptor	1/100	0.12226224762866918	0.2338656364203242	0	0	8.030303030303031	16.876380218002918	CXCL14
Protein digestion and absorption	1/103	0.12569830092022516	0.2338656364203242	0	0	7.792941176470588	16.161552220124815	COL12A1
Glutamatergic synapse	1/114	0.13818684699637238	0.2338656364203242	0	0	7.0304424778761065	13.914290006879398	SHANK2
Neurotrophin signaling pathway	1/119	0.1438065882864303	0.2338656364203242	0	0	6.730847457627118	13.053038371424424	NTF3
Thyroid hormone signaling pathway	1/121	0.14604460436692562	0.2338656364203242	0	0	6.618	12.731994261662797	DIO2
Pathways in cancer	2/531	0.15088105575504787	0.2338656364203242	0	0	3.063169502205419	5.793260559900932	PLEKHG5;FGF1
Breast cancer	1/147	0.17463179980363083	0.24697720602037915	0	0	5.432328767123288	9.47982396276961	FGF1
Gastric cancer	1/149	0.17679228238829486	0.24697720602037915	0	0	5.3583783783783785	9.284889715044615	FGF1
Cushing syndrome	1/155	0.1832411528538297	0.24697720602037915	0	0	5.148051948051948	8.735998174132183	AIPL1
Wnt signaling pathway	1/166	0.19493813427133033	0.25179509010046836	0	0	4.802181818181818	7.8519179804021215	NKD2
Chemokine signaling pathway	1/192	0.22194874604210998	0.2746675849972575	0	0	4.143036649214659	6.236549516218437	CXCL14
Rap1 signaling pathway	1/210	0.24013564312088603	0.2746675849972575	0	0	3.782775119617225	5.39632289925392	FGF1
cAMP signaling pathway	1/216	0.24610658253345885	0.2746675849972575	0	0	3.676093023255814	5.153847769772427	GABBR1
Regulation of actin cytoskeleton	1/218	0.24808685096526484	0.2746675849972575	0	0	3.6418433179723504	5.0766435963058445	FGF1
Chemical carcinogenesis	1/239	0.26857997793827676	0.27852706666454546	0	0	3.3169747899159665	4.360516751743139	AIPL1
Calcium signaling pathway	1/240	0.26954232257859234	0.27852706666454546	0	0	3.302928870292887	4.330238373930456	FGF1
Cytokine-cytokine receptor interaction	1/295	0.3206366341121514	0.3206366341121514	0	0	2.6775510204081634	3.0455717810550733	CXCL14
