Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
growth factor activity (GO:0008083)	2/87	0.005680529515937489	0.06881490726288424	0	0	19.499019607843138	100.82379178182899	NTF3;FGF1
receptor ligand activity (GO:0048018)	3/307	0.007169708386239642	0.06881490726288424	0	0	8.439645308924485	41.67404267745551	PYY;NTF3;FGF1
myosin heavy chain binding (GO:0032036)	1/7	0.009065844334115208	0.06881490726288424	0	0	133.12	626.0954814439701	NKD2
arginine binding (GO:0034618)	1/8	0.010354501736256563	0.06881490726288424	0	0	114.09714285714286	521.4620402892078	NAGS
ionotropic glutamate receptor binding (GO:0035255)	1/10	0.012926985542465876	0.06881490726288424	0	0	88.73333333333333	385.85142072369416	SHANK2
death receptor binding (GO:0005123)	1/15	0.019330101754838777	0.06881490726288424	0	0	57.02857142857143	225.0399736139121	NTF3
glutamate receptor binding (GO:0035254)	1/17	0.02188015065344143	0.06881490726288424	0	0	49.895	190.70744238188936	SHANK2
neuropeptide receptor binding (GO:0071855)	1/18	0.023152783214921657	0.06881490726288424	0	0	46.95764705882353	176.82560723797164	PYY
ankyrin binding (GO:0030506)	1/19	0.02442382371261493	0.06881490726288424	0	0	44.346666666666664	164.6235293172426	PLEC
N-acetyltransferase activity (GO:0008080)	1/21	0.026961136138080617	0.06881490726288424	0	0	39.908	144.2019250738276	NAGS
GABA receptor activity (GO:0016917)	1/22	0.028227411859507716	0.06881490726288424	0	0	38.005714285714284	135.5839309094672	GABBR1
fibroblast growth factor receptor binding (GO:0005104)	1/23	0.02949210311266467	0.06881490726288424	0	0	36.276363636363634	127.82458269039886	FGF1
neuropeptide hormone activity (GO:0005184)	1/26	0.0332766890274869	0.07167286867458716	0	0	31.9184	108.61506451316906	PYY
amino acid binding (GO:0016597)	1/32	0.04080333571367171	0.07616622666552052	0	0	25.732903225806453	82.31933722871672	NAGS
chemoattractant activity (GO:0042056)	1/32	0.04080333571367171	0.07616622666552052	0	0	25.732903225806453	82.31933722871672	NTF3
ubiquitin protein ligase binding (GO:0031625)	2/265	0.04613743967625894	0.07661353386345855	0	0	6.245564005069708	19.212170038768832	DIO2;NKD2
signaling receptor complex adaptor activity (GO:0030159)	1/39	0.049513217714441275	0.07661353386345855	0	0	20.985263157894735	63.07153622173417	SHANK2
ubiquitin-like protein ligase binding (GO:0044389)	2/282	0.05156522506805766	0.07661353386345855	0	0	5.861309523809524	17.378242128880096	DIO2;NKD2
carboxylic acid binding (GO:0031406)	1/41	0.05198775512163259	0.07661353386345855	0	0	19.934	58.93979602481205	NAGS
myosin binding (GO:0017022)	1/56	0.07035034469412263	0.09849048257177168	0	0	14.486545454545455	38.45116817407706	NKD2
ATPase binding (GO:0051117)	1/73	0.09074787272717313	0.12099716363623084	0	0	11.056666666666667	26.53235403248719	NKD2
hormone activity (GO:0005179)	1/78	0.09666478576870684	0.12302790916017234	0	0	10.336103896103896	24.150369828536576	PYY
growth factor receptor binding (GO:0070851)	1/105	0.12798181377597367	0.15580394720553317	0	0	7.642307692307693	15.711568991148608	FGF1
kinase activity (GO:0016301)	1/112	0.13592903418405253	0.15858387321472797	0	0	7.157837837837838	14.284341073134291	NAGS
G protein-coupled receptor binding (GO:0001664)	1/143	0.17029446696206574	0.19072980299751363	0	0	5.586478873239437	9.889331165414369	PYY
G protein-coupled receptor activity (GO:0004930)	1/283	0.30979070306688955	0.33362075714895795	0	0	2.793191489361702	3.273224800451882	GABBR1
cadherin binding (GO:0045296)	1/322	0.34444406252711174	0.35720125002811587	0	0	2.4489719626168225	2.6101720513844753	PLEC
RNA binding (GO:0003723)	1/1406	0.849899217879486	0.849899217879486	0	0	0.5286548042704626	0.08597909770037614	PLEC
