Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
intermediate filament (GO:0005882)	2/50	0.0019157650058532817	0.06288663534494833	0	0	34.59375	216.47517339281177	GPER1;PLEC
axon (GO:0030424)	3/204	0.002286786739816303	0.06288663534494833	0	0	12.831278390655418	78.02196912021368	GPER1;PLEKHG5;NTF3
neuron projection (GO:0043005)	4/556	0.005432345543085276	0.09476381389607785	0	0	6.397233201581027	33.3640294638351	GPER1;PLEKHG5;NTF3;SHANK2
G protein-coupled receptor dimeric complex (GO:0038037)	1/7	0.009065844334115208	0.09476381389607785	0	0	133.12	626.0954814439701	GABBR1
hemidesmosome (GO:0030056)	1/7	0.009065844334115208	0.09476381389607785	0	0	133.12	626.0954814439701	PLEC
dendritic spine membrane (GO:0032591)	1/8	0.010354501736256563	0.09476381389607785	0	0	114.09714285714286	521.4620402892078	GPER1
asymmetric synapse (GO:0032279)	2/133	0.01285046149544175	0.09476381389607785	0	0	12.622773536895675	54.96429651581209	GPER1;SHANK2
postsynaptic density (GO:0014069)	2/138	0.013783827475793143	0.09476381389607785	0	0	12.155637254901961	52.07790190934015	GPER1;SHANK2
keratin filament (GO:0045095)	1/15	0.019330101754838777	0.11812839961290363	0	0	57.02857142857143	225.0399736139121	GPER1
synaptic membrane (GO:0097060)	1/26	0.0332766890274869	0.1553824139014954	0	0	31.9184	108.61506451316906	GPER1
dendrite membrane (GO:0032590)	1/29	0.03704708290694648	0.1553824139014954	0	0	28.494285714285713	93.90478962861957	GPER1
secretory vesicle (GO:0099503)	1/29	0.03704708290694648	0.1553824139014954	0	0	28.494285714285713	93.90478962861957	NKD2
exocytic vesicle (GO:0070382)	1/30	0.03830073589051536	0.1553824139014954	0	0	27.510344827586206	89.74661743899148	NKD2
ciliary membrane (GO:0060170)	1/31	0.03955281953600642	0.1553824139014954	0	0	26.592	85.8953057509563	SHANK2
brush border membrane (GO:0031526)	1/37	0.04703247041327647	0.1553824139014954	0	0	22.153333333333332	67.72090251278901	SHANK2
dendrite (GO:0030425)	2/270	0.047710334895804306	0.1553824139014954	0	0	6.127487562189055	18.643538020179374	GPER1;NTF3
cell-cell junction (GO:0005911)	2/271	0.04802729156955312	0.1553824139014954	0	0	6.104399008674101	18.53286904535473	PLEKHG5;FRMD4A
sarcolemma (GO:0042383)	1/52	0.06548737353822447	0.1937613217049796	0	0	15.625882352941176	42.594560287369276	PLEC
extracellular membrane-bounded organelle (GO:0065010)	1/56	0.07035034469412263	0.1937613217049796	0	0	14.486545454545455	38.45116817407706	COL12A1
SCF ubiquitin ligase complex (GO:0019005)	1/58	0.07277269660307303	0.1937613217049796	0	0	13.976842105263158	36.62511888924771	FBXL13
extracellular vesicle (GO:1903561)	1/59	0.07398159556008312	0.1937613217049796	0	0	13.735172413793103	35.76555009478774	COL12A1
vesicle membrane (GO:0012506)	1/73	0.09074787272717313	0.22686968181793282	0	0	11.056666666666667	26.53235403248719	GPER1
bicellular tight junction (GO:0005923)	1/78	0.09666478576870684	0.23074986003147507	0	0	10.336103896103896	24.150369828536576	FRMD4A
intermediate filament cytoskeleton (GO:0045111)	1/84	0.10371621867533946	0.23074986003147507	0	0	9.586024096385541	21.722858299676936	PLEC
tight junction (GO:0070160)	1/85	0.10488630001430685	0.23074986003147507	0	0	9.471428571428572	21.35691944281389	FRMD4A
cell projection membrane (GO:0031253)	1/92	0.11303584104657523	0.23911427913698607	0	0	8.73978021978022	19.053160779847286	SHANK2
